owner,repo,number,comment_by,comment_body,html_url
shobhitsingh29,saga_multiple_page,33,dependabot-preview[bot],['Superseded by #34.'],https://github.com/shobhitsingh29/saga_multiple_page/pull/33
danish45007,maddit,14,dependabot-preview[bot],['Superseded by #40.'],https://github.com/danish45007/maddit/pull/14
developer-student-club-thapar,officialWebsite,438,dependabot-preview[bot],"[""OK, I won't notify you again about this release, but will get in touch when a new version is available. If you'd rather skip all updates until the next major or minor version, let me know by commenting `@dependabot ignore this major version` or `@dependabot ignore this minor version`.  If you change your mind, just re-open this PR and I'll resolve any conflicts on it.""]",https://github.com/developer-student-club-thapar/officialWebsite/pull/438
STAC-IITMandi,STAC-IITMandi.github.io,210,dependabot-preview[bot],['Superseded by #214.'],https://github.com/STAC-IITMandi/STAC-IITMandi.github.io/pull/210
k2glyph,react-material-admin-template,40,dependabot-preview[bot],['Superseded by #43.'],https://github.com/k2glyph/react-material-admin-template/pull/40
khrj,teledrive,70,dependabot-preview[bot],['Superseded by #71.'],https://github.com/khrj/teledrive/pull/70
Jorge-Bill,blog,52,dependabot-preview[bot],"['Looks like object-path is no longer a dependency, so this is no longer needed.']",https://github.com/Jorge-Bill/blog/pull/52
TrigenSoftware,i18n-for-browser,370,dependabot-preview[bot],['Superseded by #399.'],https://github.com/TrigenSoftware/i18n-for-browser/pull/370
keindev,string-lookup-manager,493,dependabot-preview[bot],"[""OK, I won't notify you again about this release, but will get in touch when a new version is available.  If you change your mind, just re-open this PR and I'll resolve any conflicts on it.""]",https://github.com/keindev/string-lookup-manager/pull/493
TrigenSoftware,i18n-for-react,237,dependabot-preview[bot],['Superseded by #257.'],https://github.com/TrigenSoftware/i18n-for-react/pull/237
react-component,gulp-jsx2example,97,dependabot-preview[bot],['Superseded by #113.'],https://github.com/react-component/gulp-jsx2example/pull/97
geeeger,ws-uploader,160,dependabot-preview[bot],['Superseded by #201.'],https://github.com/geeeger/ws-uploader/pull/160
ngoctrantl,erc20-explorer,29,dependabot-preview[bot],['Superseded by #31.'],https://github.com/ngoctrantl/erc20-explorer/pull/29
jeremyrajan,json-markdown,134,dependabot-preview[bot],['Superseded by #135.'],https://github.com/jeremyrajan/json-markdown/pull/134
Badi-Cal,badi-events-app,41,dependabot-preview[bot],['Superseded by #51.'],https://github.com/Badi-Cal/badi-events-app/pull/41
seijikohara,json-tree-view-vue3,110,dependabot-preview[bot],"[""OK, I won't notify you again about this release, but will get in touch when a new version is available.  If you change your mind, just re-open this PR and I'll resolve any conflicts on it.""]",https://github.com/seijikohara/json-tree-view-vue3/pull/110
takumi091111,website-nuxtjs,160,dependabot-preview[bot],['Superseded by #170.'],https://github.com/takumi091111/website-nuxtjs/pull/160
react-component,rc-server,43,dependabot-preview[bot],['Superseded by #47.'],https://github.com/react-component/rc-server/pull/43
webxmsj,blog-admin,130,dependabot-preview[bot],['Superseded by #136.'],https://github.com/webxmsj/blog-admin/pull/130
TrigenSoftware,flexis-favicons,364,dependabot-preview[bot],['Superseded by #401.'],https://github.com/TrigenSoftware/flexis-favicons/pull/364
aaronhayes,hasura-sdk,69,dependabot-preview[bot],['Superseded by #81.'],https://github.com/aaronhayes/hasura-sdk/pull/69
CoinageCrypto,lamington,382,dependabot-preview[bot],['Superseded by #403.'],https://github.com/CoinageCrypto/lamington/pull/382
tidev,appcelerator.ble,141,dependabot-preview[bot],"['Looks like node-fetch is up-to-date now, so this is no longer needed.']",https://github.com/tidev/appcelerator.ble/pull/141
eden-js,form,111,dependabot-preview[bot],['Superseded by #124.'],https://github.com/eden-js/form/pull/111
santosrai,Community.Activities,73,dependabot-preview[bot],['Superseded by #77.'],https://github.com/santosrai/Community.Activities/pull/73
DotNetCodeIT,WebHooksServer,33,dependabot-preview[bot],['Superseded by #34.'],https://github.com/DotNetCodeIT/WebHooksServer/pull/33
DotNetCodeIT,WebHooksServer,32,dependabot-preview[bot],['Superseded by #35.'],https://github.com/DotNetCodeIT/WebHooksServer/pull/32
feldroy,django-crash-starter,224,dependabot-preview[bot],['Superseded by #240.'],https://github.com/feldroy/django-crash-starter/pull/224
aerickson,volumio-plugins,62,dependabot-preview[bot],['Superseded by #63.'],https://github.com/aerickson/volumio-plugins/pull/62
feldroy,django-crash-starter,222,dependabot-preview[bot],['Superseded by #241.'],https://github.com/feldroy/django-crash-starter/pull/222
dijonkitchen,material-ui-pickers,9,dependabot-preview[bot],['Superseded by #22.'],https://github.com/dijonkitchen/material-ui-pickers/pull/9
nathang21,markdown-it,61,dependabot-preview[bot],['Superseded by #67.'],https://github.com/nathang21/markdown-it/pull/61
shaped1,Bot,15,dependabot-preview[bot],['Superseded by #30.'],https://github.com/shaped1/Bot/pull/15
ffffranklin,ffffranklin.github.io,264,,,https://github.com/ffffranklin/ffffranklin.github.io/pull/264
dabutvin,grunt-markdown,122,dependabot-preview[bot],['Superseded by #129.'],https://github.com/dabutvin/grunt-markdown/pull/122
lucaspanjer,activemq,6,dependabot-preview[bot],['Superseded by #9.'],https://github.com/lucaspanjer/activemq/pull/6
andyesys,npgsql,36,dependabot-preview[bot],['Superseded by #39.'],https://github.com/andyesys/npgsql/pull/36
mowatermelon,learning-angular-webapp,59,dependabot-preview[bot],['Superseded by #60.'],https://github.com/mowatermelon/learning-angular-webapp/pull/59
status-board,core,303,dependabot-preview[bot],['Superseded by #313.'],https://github.com/status-board/core/pull/303
ipfs,js-dag-service,446,dependabot-preview[bot],['Superseded by #474.'],https://github.com/ipfs/js-dag-service/pull/446
msrose,node-package,41,dependabot-preview[bot],['Superseded by #43.'],https://github.com/msrose/node-package/pull/41
Meadowsys,sani,80,dependabot-preview[bot],['Superseded by #119.'],https://github.com/Meadowsys/sani/pull/80
sayrilamar,react-color,120,dependabot-preview[bot],['Superseded by #136.'],https://github.com/sayrilamar/react-color/pull/120
status-board,status-board,1165,dependabot-preview[bot],['Superseded by #1175.'],https://github.com/status-board/status-board/pull/1165
ganoninc,gulp-webserver,52,dependabot-preview[bot],['Superseded by #53.'],https://github.com/ganoninc/gulp-webserver/pull/52
moimikey,imagesloaded,44,dependabot-preview[bot],['Superseded by #54.'],https://github.com/moimikey/imagesloaded/pull/44
mrlynn,meanstore,670,dependabot-preview[bot],['Superseded by #697.'],https://github.com/mrlynn/meanstore/pull/670
yotie,micron,102,dependabot-preview[bot],['Superseded by #123.'],https://github.com/yotie/micron/pull/102
fu4303,mxb,10,dependabot-preview[bot],['Superseded by #30.'],https://github.com/fu4303/mxb/pull/10
usgs,nwisweb-tableau-data-connector,261,dependabot-preview[bot],['Superseded by #288.'],https://github.com/usgs/nwisweb-tableau-data-connector/pull/261
fu4303,mxbstr,8,dependabot-preview[bot],['Superseded by #24.'],https://github.com/fu4303/mxbstr/pull/8
mattblubaugh,javascript-development-environment,65,dependabot-preview[bot],['Superseded by #68.'],https://github.com/mattblubaugh/javascript-development-environment/pull/65
mark-monteiro,smokes-lets-go,28,dependabot-preview[bot],"[""OK, I won't notify you again about this release, but will get in touch when a new version is available.  If you change your mind, just re-open this PR and I'll resolve any conflicts on it.""]",https://github.com/mark-monteiro/smokes-lets-go/pull/28
rogeriorioli,personal_lp_nextjs,38,dependabot-preview[bot],['Superseded by #39.'],https://github.com/rogeriorioli/personal_lp_nextjs/pull/38
lingnet,functions-samples,239,dependabot-preview[bot],['Superseded by #249.'],https://github.com/lingnet/functions-samples/pull/239
Judahh,pocketDoc,153,dependabot-preview[bot],['Superseded by #159.'],https://github.com/Judahh/pocketDoc/pull/153
biglotteryfund,craft-dev,577,dependabot-preview[bot],['Superseded by #581.'],https://github.com/biglotteryfund/craft-dev/pull/577
martinfrancois,wdio-mobile-utils,606,dependabot-preview[bot],['Superseded by #737.'],https://github.com/martinfrancois/wdio-mobile-utils/pull/606
cesi-it-aix,bea-front,143,dependabot-preview[bot],['Superseded by #149.'],https://github.com/cesi-it-aix/bea-front/pull/143
