owner,repo,number,merged_by,comment_url,html_url
DIYgod,diygod.me,365,DIYgod,https://api.github.com/repos/DIYgod/diygod.me/issues/365/comments,https://github.com/DIYgod/diygod.me/pull/365
ruevko,slides,1,ruevko,https://api.github.com/repos/ruevko/slides/issues/1/comments,https://github.com/ruevko/slides/pull/1
Vyvy-vi-archives,lets-troll-ryan,6,Vyvy-vi,https://api.github.com/repos/Vyvy-vi-archives/lets-troll-ryan/issues/6/comments,https://github.com/Vyvy-vi-archives/lets-troll-ryan/pull/6
Vyvy-vi-archives,lets-troll-ryan,3,Vyvy-vi,https://api.github.com/repos/Vyvy-vi-archives/lets-troll-ryan/issues/3/comments,https://github.com/Vyvy-vi-archives/lets-troll-ryan/pull/3
mondeja,remove-labels-gh-action,3,mondeja,https://api.github.com/repos/mondeja/remove-labels-gh-action/issues/3/comments,https://github.com/mondeja/remove-labels-gh-action/pull/3
aemc,goal-coach,22,aemc,https://api.github.com/repos/aemc/goal-coach/issues/22/comments,https://github.com/aemc/goal-coach/pull/22
uwpokerclub,app,32,dependabot-preview[bot],https://api.github.com/repos/uwpokerclub/app/issues/32/comments,https://github.com/uwpokerclub/app/pull/32
aemc,goal-coach,21,aemc,https://api.github.com/repos/aemc/goal-coach/issues/21/comments,https://github.com/aemc/goal-coach/pull/21
piemasters,MiniToTheMax,1539,dependabot-preview[bot],https://api.github.com/repos/piemasters/MiniToTheMax/issues/1539/comments,https://github.com/piemasters/MiniToTheMax/pull/1539
decentraland,builder,1288,nicosantangelo,https://api.github.com/repos/decentraland/builder/issues/1288/comments,https://github.com/decentraland/builder/pull/1288
remotehour,rrule-duration,10,acro5piano,https://api.github.com/repos/remotehour/rrule-duration/issues/10/comments,https://github.com/remotehour/rrule-duration/pull/10
ember-learn,deprecation-app,831,jaredgalanis,https://api.github.com/repos/ember-learn/deprecation-app/issues/831/comments,https://github.com/ember-learn/deprecation-app/pull/831
