Owner,Repo,Number,SHA,Author,A_Date,Committer,C_Date,Message
rajeshdh,twittersentiments,79,ebd8361f84dfdefcb2f2780d53a4e3d9f748c4b8,dependabot-preview[bot],2021-04-05 23:31:02,GitHub,2021-04-05 23:31:02,[Security] Bump open from 0.0.5 to 8.0.5  Bumps [open](https://github.com/sindresorhus/open) from 0.0.5 to 8.0.5. **This update includes security fixes.** - [Release notes](https://github.com/sindresorhus/open/releases) - [Commits](https://github.com/sindresorhus/open/commits/v8.0.5)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
shobhitsingh29,saga_multiple_page,33,0d9d099696f274fe7bda5ae169db6d36ab5b19dd,dependabot-preview[bot],2021-04-05 23:28:09,GitHub,2021-04-05 23:28:09,[Security] Bump open from 0.0.5 to 8.0.5  Bumps [open](https://github.com/sindresorhus/open) from 0.0.5 to 8.0.5. **This update includes security fixes.** - [Release notes](https://github.com/sindresorhus/open/releases) - [Commits](https://github.com/sindresorhus/open/commits/v8.0.5)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
danish45007,maddit,14,7ff05830d92c3d6762958c3a22b36a1426d8cfab,dependabot-preview[bot],2021-04-05 23:26:30,GitHub,2021-04-05 23:26:30,[Security] Bump highlight.js from 10.4.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.4.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.4.0...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
developer-student-club-thapar,officialWebsite,438,1ce3bd6dc2859325839109326e43655e0cca235e,dependabot-preview[bot],2021-04-05 23:30:43,GitHub,2021-04-05 23:30:43,Bump pillow from 7.2.0 to 8.2.0  Bumps [pillow](https://github.com/python-pillow/Pillow) from 7.2.0 to 8.2.0. - [Release notes](https://github.com/python-pillow/Pillow/releases) - [Changelog](https://github.com/python-pillow/Pillow/blob/master/CHANGES.rst) - [Commits](https://github.com/python-pillow/Pillow/compare/7.2.0...8.2.0)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
STAC-IITMandi,STAC-IITMandi.github.io,210,700536b8895a289df13df2529f249d45374c0b93,dependabot-preview[bot],2021-04-05 23:25:17,GitHub,2021-04-05 23:25:17,[Security] Bump django from 3.1.2 to 3.1.6  Bumps [django](https://github.com/django/django) from 3.1.2 to 3.1.6. **This update includes security fixes.** - [Release notes](https://github.com/django/django/releases) - [Commits](https://github.com/django/django/compare/3.1.2...3.1.6)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
k2glyph,react-material-admin-template,40,3bf146d91b718a13ea76e1853766c1a0d90eb159,dependabot-preview[bot],2021-04-05 23:23:39,GitHub,2021-04-05 23:23:39,[Security] Bump open from 0.0.5 to 8.0.5  Bumps [open](https://github.com/sindresorhus/open) from 0.0.5 to 8.0.5. **This update includes security fixes.** - [Release notes](https://github.com/sindresorhus/open/releases) - [Commits](https://github.com/sindresorhus/open/commits/v8.0.5)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
sambhav2612,keystone,74,51ac90740a5b2a76d64b6f9da3c7126f8a8a72f2,dependabot-preview[bot],2021-04-05 23:22:17,GitHub,2021-04-05 23:22:17,Bump sanitize-html from 1.20.1 to 2.3.3  Bumps [sanitize-html](https://github.com/apostrophecms/sanitize-html) from 1.20.1 to 2.3.3. - [Release notes](https://github.com/apostrophecms/sanitize-html/releases) - [Changelog](https://github.com/apostrophecms/sanitize-html/blob/main/CHANGELOG.md) - [Commits](https://github.com/apostrophecms/sanitize-html/commits/2.3.3)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
khrj,teledrive,70,7d16bacd467079b7617d9cf1db9c6ee924b96262,dependabot-preview[bot],2021-04-05 23:19:59,GitHub,2021-04-05 23:19:59,[Security] Bump y18n from 5.0.2 to 5.0.6  Bumps [y18n](https://github.com/yargs/y18n) from 5.0.2 to 5.0.6. **This update includes a security fix.** - [Release notes](https://github.com/yargs/y18n/releases) - [Changelog](https://github.com/yargs/y18n/blob/master/CHANGELOG.md) - [Commits](https://github.com/yargs/y18n/compare/v5.0.2...v5.0.6)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
rajeshdh,jsStarterKit,60,289ce040e0226aead98d65486c8348f341c84b21,dependabot-preview[bot],2021-04-05 23:16:03,GitHub,2021-04-05 23:16:03,[Security] Bump open from 0.0.5 to 8.0.5  Bumps [open](https://github.com/sindresorhus/open) from 0.0.5 to 8.0.5. **This update includes security fixes.** - [Release notes](https://github.com/sindresorhus/open/releases) - [Commits](https://github.com/sindresorhus/open/commits/v8.0.5)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
Jorge-Bill,blog,52,e419051ca71656a93bedc1885cde494589f42366,dependabot-preview[bot],2021-04-05 22:48:22,GitHub,2021-04-05 22:48:22,[Security] Bump object-path from 0.11.4 to 0.11.5  Bumps [object-path](https://github.com/mariocasciaro/object-path) from 0.11.4 to 0.11.5. **This update includes a security fix.** - [Release notes](https://github.com/mariocasciaro/object-path/releases) - [Commits](https://github.com/mariocasciaro/object-path/commits)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
TrigenSoftware,i18n-for-browser,370,0ae50e9fae22bdd6bad925789ed4b02c6ceaaf36,dependabot-preview[bot],2021-04-05 22:14:11,GitHub,2021-04-05 22:14:11,[Security] Bump highlight.js from 10.2.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.2.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.2.0...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
keindev,string-lookup-manager,493,ad1adc0e503bdcbcc25a35f43762735171025e7f,dependabot-preview[bot],2021-04-05 22:14:03,GitHub,2021-04-05 22:14:03,build(deps): [security] bump highlight.js from 10.2.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.2.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.2.0...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
TrigenSoftware,i18n-for-react,237,48c5095b642357e5a59a44aa4ec66ddc20884f49,dependabot-preview[bot],2021-04-05 22:13:16,GitHub,2021-04-05 22:13:16,[Security] Bump highlight.js from 10.3.1 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.3.1 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.3.1...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
2001-800080,graceshopperrepo,126,401b8be124a355d67e3c5ad2074aded7684c8516,dependabot-preview[bot],2021-05-12 20:51:40,GitHub,2021-05-12 20:51:40,[Security] Bump y18n from 3.2.1 to 3.2.2  Bumps [y18n](https://github.com/yargs/y18n) from 3.2.1 to 3.2.2. **This update includes a security fix.** - [Release notes](https://github.com/yargs/y18n/releases) - [Changelog](https://github.com/yargs/y18n/blob/master/CHANGELOG.md) - [Commits](https://github.com/yargs/y18n/commits)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
freedomlang,VueWordCloud,152,a03c0f20300445c3365c4a65773d988e68bc3d04,dependabot-preview[bot],2021-04-05 21:22:56,GitHub,2021-04-05 21:22:56,chore(deps): [security] bump yargs-parser from 4.2.1 to 5.0.1  Bumps [yargs-parser](https://github.com/yargs/yargs-parser) from 4.2.1 to 5.0.1. **This update includes a security fix.** - [Release notes](https://github.com/yargs/yargs-parser/releases) - [Changelog](https://github.com/yargs/yargs-parser/blob/v5.0.1/CHANGELOG.md) - [Commits](https://github.com/yargs/yargs-parser/compare/v4.2.1...v5.0.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
react-component,gulp-jsx2example,97,dc4bca05610adf4685cc09a6840f8b0535284a9c,dependabot-preview[bot],2021-04-05 21:20:17,GitHub,2021-04-05 21:20:17,chore(deps): [security] bump highlight.js from 8.9.1 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 8.9.1 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/8.9.1...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
geeeger,ws-uploader,160,0ecbf19fc75440964dc2e92fe7605a6c07222dc5,dependabot-preview[bot],2021-04-05 21:15:09,GitHub,2021-04-05 21:15:09,chore(deps): [security] bump highlight.js from 10.3.2 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.3.2 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.3.2...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
ngoctrantl,erc20-explorer,29,7dbd39c075bd0bc497bb19d83116a053c213060a,dependabot-preview[bot],2021-04-05 22:13:50,GitHub,2021-04-05 22:13:50,[Security] Bump web3 from 0.19.1 to 1.3.5  Bumps [web3](https://github.com/ethereum/web3.js) from 0.19.1 to 1.3.5. **This update includes a security fix.** - [Release notes](https://github.com/ethereum/web3.js/releases) - [Changelog](https://github.com/ChainSafe/web3.js/blob/1.x/CHANGELOG.md) - [Commits](https://github.com/ethereum/web3.js/commits/v1.3.5)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
DIYgod,diygod.me,365,1a9097d094329ecbf2417da350a7b96dfb924504,dependabot-preview[bot],2021-04-05 21:13:00,GitHub,2021-04-05 21:13:00,chore(deps): [security] bump highlight.js from 10.0.1 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.0.1 to 10.7.2. **This update includes security fixes.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.0.1...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
jeremyrajan,json-markdown,134,210fab981bcff7a811b2045c7122dbf57f412569,dependabot-preview[bot],2021-04-05 21:12:35,GitHub,2021-04-05 21:12:35,[Security] Bump y18n from 5.0.3 to 5.0.6  Bumps [y18n](https://github.com/yargs/y18n) from 5.0.3 to 5.0.6. **This update includes a security fix.** - [Release notes](https://github.com/yargs/y18n/releases) - [Changelog](https://github.com/yargs/y18n/blob/master/CHANGELOG.md) - [Commits](https://github.com/yargs/y18n/compare/v5.0.3...v5.0.6)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
Badi-Cal,badi-events-app,41,933cd280f1b9a5ab17f9a99675841a7d76a4de9b,dependabot-preview[bot],2021-04-05 20:37:53,GitHub,2021-04-05 20:37:53,[Security] Bump y18n from 4.0.0 to 4.0.1  Bumps [y18n](https://github.com/yargs/y18n) from 4.0.0 to 4.0.1. **This update includes a security fix.** - [Release notes](https://github.com/yargs/y18n/releases) - [Changelog](https://github.com/yargs/y18n/blob/master/CHANGELOG.md) - [Commits](https://github.com/yargs/y18n/commits)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
SweakNetwork,chikuwagoddon,417,b363501a2b8db03b8de7f45ec435214ae402b81d,dependabot-preview[bot],2021-04-05 20:25:31,GitHub,2021-04-05 20:25:31,[Security] Bump pghero from 2.3.0 to 2.8.1  Bumps [pghero](https://github.com/ankane/pghero) from 2.3.0 to 2.8.1. **This update includes security fixes.** - [Release notes](https://github.com/ankane/pghero/releases) - [Changelog](https://github.com/ankane/pghero/blob/master/CHANGELOG.md) - [Commits](https://github.com/ankane/pghero/compare/v2.3.0...v2.8.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
seijikohara,json-tree-view-vue3,110,26663377de9c9f70124c0df3abf12d8a3405c372,dependabot-preview[bot],2021-04-05 20:21:53,GitHub,2021-04-05 20:21:53,[Security] Bump highlight.js from 10.4.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.4.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.4.0...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
takumi091111,website-nuxtjs,160,c82cd0f1a2ba66f71755b43d21dd31c5a2a2342f,dependabot-preview[bot],2021-04-05 20:16:54,GitHub,2021-04-05 20:16:54,[Security] Bump highlight.js from 9.18.5 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 9.18.5 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/9.18.5...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
DeloitteDigitalAPAC,rhythm-ui,181,c2fb2971cf643b1f17172feaa1d16aa81a675e84,dependabot-preview[bot],2021-04-05 19:21:24,GitHub,2021-04-05 19:21:24,[Security] Bump handlebars from 4.1.2 to 4.7.7  Bumps [handlebars](https://github.com/wycats/handlebars.js) from 4.1.2 to 4.7.7. **This update includes security fixes.** - [Release notes](https://github.com/wycats/handlebars.js/releases) - [Changelog](https://github.com/handlebars-lang/handlebars.js/blob/master/release-notes.md) - [Commits](https://github.com/wycats/handlebars.js/compare/v4.1.2...v4.7.7)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
react-component,rc-server,43,541c06a563aefb0e66e2aba357ee2e31aebb65aa,dependabot-preview[bot],2021-04-05 21:12:56,GitHub,2021-04-05 21:12:56,[Security] Bump highlight.js from 8.4.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 8.4.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/8.4...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
webxmsj,blog-admin,130,fe57c435d507b2c90eb29d314e8f3f5f208b9ee8,dependabot-preview[bot],2021-04-05 21:32:21,GitHub,2021-04-05 21:32:21,build(deps): [security] bump highlight.js from 9.18.5 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 9.18.5 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/9.18.5...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
TrigenSoftware,flexis-favicons,364,e0524d62ccdd9cb7d2033870b4adc5baf1a88aeb,dependabot-preview[bot],2021-04-05 22:13:51,GitHub,2021-04-05 22:13:51,[Security] Bump highlight.js from 10.2.1 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.2.1 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.2.1...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
aaronhayes,hasura-sdk,69,ba6295d281e9f86fd095f348c0ff54ab999cfe33,dependabot-preview[bot],2021-04-05 19:17:33,GitHub,2021-04-05 19:17:33,build(deps): [security] bump highlight.js from 10.2.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.2.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.2.0...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
CoinageCrypto,lamington,382,5386e2283aef86f27b08301b425a8fa6c596d9ea,dependabot-preview[bot],2021-04-05 19:15:27,GitHub,2021-04-05 19:15:27,[Security] Bump highlight.js from 10.1.2 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.1.2 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.1.2...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
tidev,appcelerator.ble,141,cf32ade4fb52186f2edd8f795b7475f702f3d14d,dependabot-preview[bot],2021-04-05 18:05:59,GitHub,2021-04-05 18:05:59,build(deps): [security] bump node-fetch from 2.6.0 to 2.6.1  Bumps [node-fetch](https://github.com/bitinn/node-fetch) from 2.6.0 to 2.6.1. **This update includes a security fix.** - [Release notes](https://github.com/bitinn/node-fetch/releases) - [Changelog](https://github.com/node-fetch/node-fetch/blob/master/docs/CHANGELOG.md) - [Commits](https://github.com/bitinn/node-fetch/compare/v2.6.0...v2.6.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
eden-js,form,111,4ac2b19f10c00f00e3c015be1006010b4943f3dc,dependabot-preview[bot],2021-04-05 17:18:05,GitHub,2021-04-05 17:18:05,[Security] Bump highlight.js from 9.14.2 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 9.14.2 to 10.7.2. **This update includes security fixes.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/9.14.2...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
santosrai,Community.Activities,73,8840c86cbc026e8dbaff29ff7319a22e6e84dbfe,dependabot-preview[bot],2021-04-05 15:55:40,GitHub,2021-04-05 15:55:40,[Security] Bump System.Net.Http from 4.3.1 to 4.3.2  Bumps System.Net.Http from 4.3.1 to 4.3.2. **This update includes a security fix.**  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
ruevko,slides,1,355c4209d6fe2b71f824f73b96528ff16d1dbb7e,dependabot-preview[bot],2021-04-05 18:04:40,GitHub,2021-04-05 18:04:40,[Security] Bump nokogiri from 1.10.10 to 1.11.2  Bumps [nokogiri](https://github.com/sparklemotion/nokogiri) from 1.10.10 to 1.11.2. **This update includes security fixes.** - [Release notes](https://github.com/sparklemotion/nokogiri/releases) - [Changelog](https://github.com/sparklemotion/nokogiri/blob/main/CHANGELOG.md) - [Commits](https://github.com/sparklemotion/nokogiri/compare/v1.10.10...v1.11.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
DotNetCodeIT,WebHooksServer,33,4807f5661379721343d72eb5cdb84ab9d3d7e5a1,dependabot-preview[bot],2021-04-05 15:55:34,GitHub,2021-04-05 15:55:34,[Security] Bump System.Net.Http from 4.3.1 to 4.3.2  Bumps System.Net.Http from 4.3.1 to 4.3.2. **This update includes a security fix.**  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
DotNetCodeIT,WebHooksServer,32,da4883d02aca9576bf6a4ace23925d4e7a48f82e,dependabot-preview[bot],2021-04-05 15:55:32,GitHub,2021-04-05 15:55:32,[Security] Bump System.Text.Encodings.Web from 4.3.0 to 4.3.1  Bumps System.Text.Encodings.Web from 4.3.0 to 4.3.1. **This update includes a security fix.**  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
