Owner,Repo,Number,Author,Created_at,Updated_at,Closed_at,Merged_at,State,Title,Body,Assignee,Assignees,Requested_reviewers,Labels,Mergeable,Mergeable_state,Comments,Review_comments,Commits,Additions,Deletions,Changed_files
rajeshdh,twittersentiments,79,dependabot-preview[bot],2021-04-05 23:31:04,2021-04-05 23:31:07,,,open,[Security] Bump open from 0.0.5 to 8.0.5,7234,,0,2,"['dependencies', 'security']",True,clean,0,0,1,1,1,1
shobhitsingh29,saga_multiple_page,33,dependabot-preview[bot],2021-04-05 23:28:10,2021-04-16 23:26:36,2021-04-16 23:26:35,,closed,[Security] Bump open from 0.0.5 to 8.0.5,7164,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
danish45007,maddit,14,dependabot-preview[bot],2021-04-05 23:26:32,2021-06-04 23:16:03,2021-06-04 23:16:02,,closed,[Security] Bump highlight.js from 10.4.0 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,clean,1,0,1,3,3,1
developer-student-club-thapar,officialWebsite,438,dependabot-preview[bot],2021-04-05 23:30:44,2021-10-07 14:48:59,2021-10-07 14:48:04,,closed,[Security] Bump pillow from 7.2.0 to 8.2.0,19689,,0,2,"['dependencies', 'python', 'security']",,unknown,2,0,1,188,139,1
STAC-IITMandi,STAC-IITMandi.github.io,210,dependabot-preview[bot],2021-04-05 23:25:17,2021-04-20 08:17:11,2021-04-20 08:17:08,,closed,[Security] Bump django from 3.1.2 to 3.1.6,6793,,0,2,"['dependencies', 'security']",,unknown,1,0,1,1,1,1
k2glyph,react-material-admin-template,40,dependabot-preview[bot],2021-04-05 23:23:40,2021-04-16 23:30:23,2021-04-16 23:30:22,,closed,[Security] Bump open from 0.0.5 to 8.0.5,7164,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
sambhav2612,keystone,74,dependabot-preview[bot],2021-04-05 23:22:19,2021-05-06 16:19:42,,,open,[Security] Bump sanitize-html from 1.20.1 to 2.3.3,8160,,0,2,"['dependencies', 'security']",True,clean,1,0,1,146,67,2
khrj,teledrive,70,dependabot-preview[bot],2021-04-05 23:20:00,2021-04-07 23:22:07,2021-04-07 23:22:05,,closed,[Security] Bump y18n from 5.0.2 to 5.0.6,9363,,0,2,"['dependencies', 'security']",,unknown,2,0,1,3,3,1
rajeshdh,jsStarterKit,60,dependabot-preview[bot],2021-04-05 23:16:03,2021-04-05 23:16:05,,,open,[Security] Bump open from 0.0.5 to 8.0.5,7234,,0,2,"['dependencies', 'security']",True,clean,0,0,1,1,1,1
Jorge-Bill,blog,52,dependabot-preview[bot],2021-04-05 22:48:23,2021-06-21 19:12:59,2021-06-21 19:12:58,,closed,[Security] Bump object-path from 0.11.4 to 0.11.5,4642,,0,2,"['dependencies', 'security']",False,dirty,1,0,1,3,3,1
