Owner,Repo,Private,Description,Fork,Created_at,Updated_at,Pushed_at,Size,Stars,Watchers,Language,Archived,Forks,Open_issues
rajeshdh,twittersentiments,False,A sentiment analyser twitter bot ,False,2018-05-09 18:36:12,2020-06-04 01:51:45,2021-04-09 23:20:42,24,1,1,JavaScript,False,0,11
shobhitsingh29,saga_multiple_page,False,,False,2017-08-17 04:38:49,2023-03-17 12:09:00,2021-06-22 23:29:00,4292,1,1,JavaScript,False,2,14
danish45007,maddit,False,"Maddit is an Indian social news aggregation, web content rating, and discussion website. Registered members submit content to the site such as links, text posts, and images, which are then voted up or down by other members.",False,2020-08-24 10:44:40,2021-12-18 08:19:49,2021-08-03 20:09:39,968,1,1,TypeScript,False,1,19
developer-student-club-thapar,officialWebsite,False,The official website for DSC TIET official website made using Django and React,False,2019-12-10 19:31:06,2022-12-08 09:00:30,2023-03-05 20:39:22,52493,19,19,JavaScript,False,60,8
STAC-IITMandi,STAC-IITMandi.github.io,False,Repository for the website of club. Hosted at https://stac.iitmandi.co.in.,False,2018-02-28 16:11:15,2023-03-12 14:03:16,2023-02-15 19:58:39,23655,12,12,HTML,False,43,2
k2glyph,react-material-admin-template,False,A simple responsive admin template using react and material-ui,True,2017-01-10 04:57:25,2017-01-10 04:57:28,2021-07-30 23:15:19,2514,0,0,JavaScript,False,0,12
sambhav2612,keystone,False,Node.js CMS and web app framework,True,2020-06-11 10:00:30,2023-03-09 02:26:44,2023-01-31 23:04:54,152348,1,1,JavaScript,False,0,31
khrj,teledrive,False,"TeleDrive lets you automatically backup all your files to telegram saved messages - this means FREE, UNLIMITED storage",False,2020-07-30 12:02:23,2023-04-07 00:37:25,2023-01-07 04:52:45,36223,131,131,JavaScript,False,23,36
rajeshdh,jsStarterKit,False,,False,2018-05-03 16:40:05,2020-06-03 18:37:18,2021-04-09 23:15:19,23,1,1,JavaScript,False,0,11
Jorge-Bill,blog,False,"A blog about Frontend, backend and another million things",False,2020-06-21 15:11:36,2022-09-14 21:01:15,2023-02-22 08:28:01,79691,0,0,JavaScript,False,0,6
TrigenSoftware,i18n-for-browser,False,Modern translation module for web.,False,2016-02-08 06:57:39,2020-11-13 10:06:53,2022-12-10 18:35:06,2559,10,10,TypeScript,False,1,32
keindev,string-lookup-manager,False,An easy way to collect regular expressions search results,False,2019-09-17 22:03:58,2023-01-31 17:34:44,2023-03-31 22:57:47,3374,0,0,TypeScript,False,0,11
TrigenSoftware,i18n-for-react,False,Modern translation module for React.,False,2019-06-13 16:42:37,2020-11-13 07:48:14,2021-08-02 22:18:32,3461,0,0,TypeScript,False,0,21
2001-800080,graceshopperrepo,False,,False,2020-03-02 16:55:11,2021-10-27 06:31:59,2023-01-24 01:32:01,6722,7,7,JavaScript,False,0,87
freedomlang,VueWordCloud,False,word cloud make by vue,False,2017-10-07 06:03:53,2019-12-03 06:06:29,2021-08-02 21:53:36,4747,0,0,JavaScript,False,0,28
react-component,gulp-jsx2example,False,Compile JSX file to HTML (react demo),False,2015-07-04 06:50:13,2017-06-23 02:58:25,2021-08-02 21:18:21,2849,13,13,JavaScript,False,3,11
geeeger,ws-uploader,False,multipart file upload,False,2020-02-02 14:37:47,2023-01-28 04:08:47,2022-01-10 01:43:29,1166,2,2,TypeScript,True,2,3
ngoctrantl,erc20-explorer,False,An explorer for ERC20 based Ethereum tokens,True,2019-04-24 08:48:06,2019-07-05 14:07:36,2021-07-28 22:15:22,34,0,0,JavaScript,False,0,9
DIYgod,diygod.me,False,"🍰 Hi, DIYgod",False,2017-11-20 03:37:54,2023-03-18 14:40:07,2023-03-14 22:00:45,262596,160,160,JavaScript,False,74,21
jeremyrajan,json-markdown,False,Create Markdown docs for JSON Schema,False,2016-05-01 06:42:24,2023-03-05 05:49:58,2023-01-13 00:06:50,743,4,4,JavaScript,False,8,23
Badi-Cal,badi-events-app,False,Front end for Badí calendar events app.,False,2020-09-01 01:01:23,2021-12-08 02:52:56,2023-03-28 23:52:31,2777,0,0,JavaScript,False,1,1
SweakNetwork,chikuwagoddon,False,"Your self-hosted, globally interconnected microblogging community",True,2017-10-24 11:12:38,2023-01-27 23:03:25,2022-06-01 01:18:58,104101,4,4,Ruby,True,5,67
seijikohara,json-tree-view-vue3,False,JSON tree rendering Vue3 component,False,2020-10-23 14:54:33,2023-02-21 10:25:08,2023-03-06 22:01:48,1639,20,20,Vue,False,8,10
takumi091111,website-nuxtjs,False,My Website,False,2019-09-29 16:45:08,2020-08-01 10:30:11,2021-08-02 20:19:08,485,1,1,Vue,False,0,11
DeloitteDigitalAPAC,rhythm-ui,False,A UI framework for creating Design Systems,False,2018-08-18 10:52:33,2022-07-12 04:47:39,2023-01-05 02:42:31,17382,5,5,TypeScript,False,10,48
react-component,rc-server,False,"This project is deprecated, use rc-tools run server",False,2014-12-15 03:53:14,2019-03-06 02:52:37,2021-08-02 21:14:13,175,15,15,JavaScript,False,3,13
webxmsj,blog-admin,False,基于iview的后台管理系统,False,2018-09-29 10:31:06,2019-01-21 15:18:35,2021-08-02 21:24:50,5782,0,0,Vue,False,0,14
TrigenSoftware,flexis-favicons,False,A tool for generating icons for the modern web.,False,2018-07-08 07:58:36,2022-09-12 17:03:48,2022-12-10 18:35:27,3016,5,5,TypeScript,False,1,39
aaronhayes,hasura-sdk,False,Hasura Schema & Metadata Typescript SDK,False,2020-07-27 12:58:00,2023-03-06 13:04:05,2023-01-06 12:34:44,883,23,23,TypeScript,False,1,21
CoinageCrypto,lamington,False,A set of tools that makes building EOS smart contracts easier,False,2019-04-01 05:43:26,2022-12-07 16:04:44,2023-01-07 20:48:42,943,39,39,TypeScript,False,9,41
tidev,appcelerator.ble,False,A collection of API's to connect and communicate with BLE compatible devices via Bluetooth LE,False,2020-07-07 07:59:43,2023-03-28 19:59:28,2023-03-13 13:02:48,2540,7,7,JavaScript,False,3,31
eden-js,form,False,,False,2019-02-07 03:27:10,2021-05-20 23:41:59,2023-01-07 21:32:35,608,0,0,Riot,False,1,17
santosrai,Community.Activities,False,Repository of Windows Workflow Foundation Activities for UiPath Community,True,2018-06-12 06:46:11,2023-03-04 04:22:21,2022-12-07 20:39:43,3654,1,1,C#,False,0,15
ruevko,slides,False,":film_projector: slides and stuff I have presented, original jekyll theme is ronv/sidey",True,2020-11-25 16:21:52,2022-06-10 16:17:07,2021-10-18 22:02:55,1976,0,0,HTML,False,0,0
DotNetCodeIT,WebHooksServer,False,ASP.NET WebHooks Server,False,2017-03-22 23:56:32,2017-03-22 23:57:15,2021-05-11 06:10:25,1673,0,0,JavaScript,False,0,14
Asherlc,homecalc,False,,False,2020-09-22 04:12:48,2020-10-26 04:00:53,2021-08-03 20:40:30,1672,0,0,TypeScript,False,0,18
feldroy,django-crash-starter,False,The Cookiecutter template for the Django Crash Course tutorial by Daniel and Audrey Feldroy.,False,2020-01-29 02:20:50,2023-02-26 14:07:45,2022-06-10 00:02:43,4940,94,94,Python,False,37,31
aerickson,volumio-plugins,False,,True,2019-07-27 07:06:41,2019-07-27 07:06:43,2021-08-02 13:19:46,255854,0,0,JavaScript,False,0,4
visormatt,generator,False,🤖 A Command Line Tool to speed up the creation of repetitive boiler-plate code.,False,2018-12-02 20:33:28,2023-03-05 05:14:07,2023-03-06 13:56:59,2075,7,7,TypeScript,False,1,30
dijonkitchen,material-ui-pickers,False,"Date & Time pickers, built with ❤️ for @material-ui/core",True,2021-03-25 21:30:40,2021-03-25 21:30:41,2023-04-04 00:39:17,14471,0,0,,False,0,18
nathang21,markdown-it,False,"Markdown parser, done right. 100% CommonMark support, extensions, syntax plugins & high speed",True,2016-01-30 21:50:53,2016-01-30 21:50:54,2022-10-22 12:02:17,2547,0,0,JavaScript,False,0,31
shaped1,Bot,False,Simple multi-purpose Discord bot made with TypeScript,True,2020-12-28 19:18:07,2020-12-28 19:19:22,2021-08-03 20:12:20,70806,0,0,TypeScript,False,0,19
atscott,is-adrian-going,False,,False,2016-11-19 01:39:01,2021-07-06 21:50:56,2023-01-06 01:35:31,8778,1,1,TypeScript,False,4,41
ffffranklin,ffffranklin.github.io,False,Blog and open source project showcase.,False,2015-08-20 06:19:18,2022-10-10 04:02:59,2023-03-15 14:05:06,3977,0,0,SCSS,False,0,18
